Skill name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
PHP,php,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0dac073a9931457042a42,false,false,Mon Dec 20 2021 19:34:24 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:34:24 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Planning,planning,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,6122035ff7882baf0cc8d800,false,false,Sun Aug 22 2021 07:57:19 GMT+0000 (Coordinated Universal Time),Sun Aug 22 2021 07:57:19 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Prototyping,prototyping,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0d878f854d84a48e83fe0,false,false,Mon Dec 20 2021 19:24:40 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:24:40 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Punch needling,punch-needling,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c18866bc8a9d1368cdc5fc,false,false,Tue Dec 21 2021 07:55:18 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:55:18 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Python,python,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c18b46a4d83f468c917e55,false,false,Tue Dec 21 2021 08:07:34 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:07:34 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
SASS,sass,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0dad24f0f66f962837199,false,false,Mon Dec 20 2021 19:34:42 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:34:42 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Sony Vegas Pro,sony-vegas-pro,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c187dfdcac3ee47fcc3bdc,false,false,Tue Dec 21 2021 07:53:03 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:53:03 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Speech Synthesis Markup Language,speech-synthesis-markup-language,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c99e47baad8913cfee2ca8,false,false,Mon Dec 27 2021 11:06:47 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:06:47 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:10:08 GMT+0000 (Coordinated Universal Time)
SQL,sql,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c18a685665cd3f1f897a43,false,false,Tue Dec 21 2021 08:03:52 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:03:52 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Stenciling,stenciling,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c183c229604dc8e09cc06b,false,false,Tue Dec 21 2021 07:35:30 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:35:30 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Storyboards,storyboards,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c9966ec7e9a90eeda3a3e0,false,false,Mon Dec 27 2021 10:33:18 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 10:33:18 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:10:08 GMT+0000 (Coordinated Universal Time)
Swift,swift,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c9966b37197e9462322bd5,false,false,Mon Dec 27 2021 10:33:15 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 10:33:15 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:10:08 GMT+0000 (Coordinated Universal Time)
Unity,unity,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c189c5cc90ef4d5d9a5d53,false,false,Tue Dec 21 2021 08:01:09 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:01:09 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Usability testing,usability-testing,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0d883cde9f7b4b3049710,false,false,Mon Dec 20 2021 19:24:51 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:24:51 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Vuforia,vuforia,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c189cd6a7dd81c0e12e4ce,false,false,Tue Dec 21 2021 08:01:17 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:01:17 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Watercoloring,watercoloring,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c185ceea7f6cacd3f8cd8e,false,false,Tue Dec 21 2021 07:44:14 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 07:44:14 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Wireframing,wireframing,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0d867488f8c3eb602f9cc,false,false,Mon Dec 20 2021 19:24:23 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 19:24:23 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Wizard-Of-Oz,wizard-of-oz,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c0e256e10556751d5a8532,false,false,Mon Dec 20 2021 20:06:46 GMT+0000 (Coordinated Universal Time),Mon Dec 20 2021 20:06:46 GMT+0000 (Coordinated Universal Time),Tue Dec 21 2021 08:17:58 GMT+0000 (Coordinated Universal Time)
Xcode,xcode,6122032eea7a95d320bc26d1,653acf41e882f528b3e64bc3,61c99674815a3bac404d69b1,false,false,Mon Dec 27 2021 10:33:24 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 10:33:24 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 11:10:08 GMT+0000 (Coordinated Universal Time)
