Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Logo on hover,CategoryTitle,Background colour,Lighter colour,LottieFile,NextCategory,PreviousCategory,ThisPage,Category detailed page title,Category detailed page introduction text
2_Designer,design-outline,5f3a5425ac18ff4705ef9546,653acf41e882f528b3e64bc3,5f3a5431c49423f3524310c4,false,false,Mon Aug 17 2020 09:56:01 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 14:03:23 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 14:14:50 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a571133466b0730330bd6_Design.svg,https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a74acb7b4c822905f8643_DesignerFilledIn.svg,DESIGNER,#f3888c,"hsla(357.77777777777777, 81.82%, 74.12%, 0.74)",https://uploads-ssl.webflow.com/5f36f3d3e7bab8a282ba2cf3/5f708f871837f3269e6b940f_render.json,naai-outline,program-outline,Designer,Design projects,"<p>Since I was 14 years old, I've been making digital creations. This went from virtually selling avatars and banners on an online horse game forum to creating a YouTube account to making posters for big parties and landing a UX Design internship in university. I love freely creating, but designing with boundaries (for apps/websites for example) is also a great challenge to take on. From ancient Paint, PhotoFiltre, GIMP, Sony Vegas Pro to the well known Adobe package, I've worked with many programs and it remains fun to explore and learn new programs.</p>"
4_Florist,flower-outline,5f3a5425ac18ff4705ef9546,653acf41e882f528b3e64bc3,5f3a543161b494d13056d29b,false,false,Mon Aug 17 2020 09:56:01 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:01:56 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:19:04 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a738db340ee5a10b3fceb_Flower.svg,https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a747f7e418def573c1671_Flowerfilledin.svg,FLORIST,#a3c485,,,,naai-outline,Florist,Floral projects,"<p>While a full page for a future wish that I've done barely nothing with, may seem like too much of an honour, I see it as a motivator to fill it! So this is a note to my future self to fill it.</p>"
3_Maker,naai-outline,5f3a5425ac18ff4705ef9546,653acf41e882f528b3e64bc3,5f3a5431c04f0d48e16d7c83,false,false,Mon Aug 17 2020 09:56:01 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:16:19 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:19:04 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a566ff2c582fee17fd5bd_Naaien.svg,https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a749139ae745879f1ca17_ButtonFilledIn.svg,MAKER,#f5c068,,,flower-outline,design-outline,Maker,Maker projects,"<p>To have a healthy work life balance, I've discovered that I need to leave my laptop alone after work-hours. In my offline time, I now love using my hands to create things, instead of using a mouse. Here are a couple of projects that I have put a lot of effort and love into, after work-hours.<br></p>"
1_Programmer,program-outline,5f3a5425ac18ff4705ef9546,653acf41e882f528b3e64bc3,5f3a5431c04f0d17366d7c82,false,false,Mon Aug 17 2020 09:56:01 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:18:37 GMT+0000 (Coordinated Universal Time),Mon Dec 27 2021 12:19:04 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a56c8dc915b2a8ccc6500_Program.svg,https://uploads-ssl.webflow.com/5f3a5425e8f6c6802a74a1e2/5f3a749ec5c0fd0abc63d2e0_ProgramFilledIn.svg,PROGRAMMER,#8ad0dc,,,design-outline,,Programmer,Coding projects,"<p>These are some of my programming projects from over the years. I have written code in many different languages, such as Java, Matlab, SQL, HTML, CSS, C++, C# and R, but am most comfortable with Kotlin and Python. I have done projects in many areas, such as: human computer interaction, child robot interaction, machine learning, data science, affective computing, neural networks, natural language processing and speech processing. Mostly, I really enjoy programming <em>for users, </em>so <em></em>projects that have a focus on better understanding or improving a user experience<em>. </em></p>"
